DATE,CPIAUCSL,RRVRUSQ156N,MORTGAGE30US
1954-10-01,26.72,,
1954-11-01,26.78,,
1954-12-01,26.77,,
1955-01-01,26.77,,
1955-02-01,26.82,,
1955-03-01,26.79,,
1955-04-01,26.79,,
1955-05-01,26.77,,
1955-06-01,26.71,,
1955-07-01,26.76,,
1955-08-01,26.72,,
1955-09-01,26.85,,
1955-10-01,26.82,,
1955-11-01,26.88,,
1955-12-01,26.87,,
1956-01-01,26.83,,
1956-02-01,26.86,,
1956-03-01,26.89,,
1956-04-01,26.93,,
1956-05-01,27.03,,
1956-06-01,27.15,,
1956-07-01,27.29,,
1956-08-01,27.31,,
1956-09-01,27.35,,
1956-10-01,27.51,,
1956-11-01,27.51,,
1956-12-01,27.63,,
1957-01-01,27.67,,
1957-02-01,27.8,,
1957-03-01,27.86,,
1957-04-01,27.93,,
1957-05-01,28.0,,
1957-06-01,28.11,,
1957-07-01,28.19,,
1957-08-01,28.28,,
1957-09-01,28.32,,
1957-10-01,28.32,,
1957-11-01,28.41,,
1957-12-01,28.47,,
1958-01-01,28.64,,
1958-02-01,28.7,,
1958-03-01,28.87,,
1958-04-01,28.94,,
1958-05-01,28.94,,
1958-06-01,28.91,,
1958-07-01,28.89,,
1958-08-01,28.94,,
1958-09-01,28.91,,
1958-10-01,28.91,,
1958-11-01,28.95,,
1958-12-01,28.97,,
1959-01-01,29.01,,
1959-02-01,29.0,,
1959-03-01,28.97,,
1959-04-01,28.98,,
1959-05-01,29.04,,
1959-06-01,29.11,,
1959-07-01,29.15,,
1959-08-01,29.18,,
1959-09-01,29.25,,
1959-10-01,29.35,,
1959-11-01,29.35,,
1959-12-01,29.41,,
1960-01-01,29.37,,
1960-02-01,29.41,,
1960-03-01,29.41,,
1960-04-01,29.54,,
1960-05-01,29.57,,
1960-06-01,29.61,,
1960-07-01,29.55,,
1960-08-01,29.61,,
1960-09-01,29.61,,
1960-10-01,29.75,,
1960-11-01,29.78,,
1960-12-01,29.81,,
1961-01-01,29.84,,
1961-02-01,29.84,,
1961-03-01,29.84,,
1961-04-01,29.81,,
1961-05-01,29.84,,
1961-06-01,29.84,,
1961-07-01,29.92,,
1961-08-01,29.94,,
1961-09-01,29.98,,
1961-10-01,29.98,,
1961-11-01,29.98,,
1961-12-01,30.01,,
1962-01-01,30.04,,
1962-02-01,30.11,,
1962-03-01,30.17,,
1962-04-01,30.21,,
1962-05-01,30.24,,
1962-06-01,30.21,,
1962-07-01,30.22,,
1962-08-01,30.28,,
1962-09-01,30.42,,
1962-10-01,30.38,,
1962-11-01,30.38,,
1962-12-01,30.38,,
1963-01-01,30.44,,
1963-02-01,30.48,,
1963-03-01,30.51,,
1963-04-01,30.48,,
1963-05-01,30.51,,
1963-06-01,30.61,,
1963-07-01,30.69,,
1963-08-01,30.75,,
1963-09-01,30.72,,
1963-10-01,30.75,,
1963-11-01,30.78,,
1963-12-01,30.88,,
1964-01-01,30.94,,
1964-02-01,30.91,,
1964-03-01,30.94,,
1964-04-01,30.95,,
1964-05-01,30.98,,
1964-06-01,31.01,,
1964-07-01,31.02,,
1964-08-01,31.05,,
1964-09-01,31.08,,
1964-10-01,31.12,,
1964-11-01,31.21,,
1964-12-01,31.25,,
1965-01-01,31.28,,
1965-02-01,31.28,,
1965-03-01,31.31,,
1965-04-01,31.38,,
1965-05-01,31.48,,
1965-06-01,31.61,,
1965-07-01,31.58,,
1965-08-01,31.55,,
1965-09-01,31.62,,
1965-10-01,31.65,,
1965-11-01,31.75,,
1965-12-01,31.85,,
1966-01-01,31.88,,
1966-02-01,32.08,,
1966-03-01,32.18,,
1966-04-01,32.28,,
1966-05-01,32.35,,
1966-06-01,32.38,,
1966-07-01,32.45,,
1966-08-01,32.65,,
1966-09-01,32.75,,
1966-10-01,32.85,,
1966-11-01,32.88,,
1966-12-01,32.92,,
1967-01-01,32.9,,
1967-02-01,33.0,,
1967-03-01,33.0,,
1967-04-01,33.1,,
1967-05-01,33.1,,
1967-06-01,33.3,,
1967-07-01,33.4,,
1967-08-01,33.5,,
1967-09-01,33.6,,
1967-10-01,33.7,,
1967-11-01,33.9,,
1967-12-01,34.0,,
1968-01-01,34.1,,
1968-02-01,34.2,,
1968-03-01,34.3,,
1968-04-01,34.4,,
1968-05-01,34.5,,
1968-06-01,34.7,,
1968-07-01,34.9,,
1968-08-01,35.0,,
1968-09-01,35.1,,
1968-10-01,35.3,,
1968-11-01,35.4,,
1968-12-01,35.6,,
1969-01-01,35.7,,
1969-02-01,35.8,,
1969-03-01,36.1,,
1969-04-01,36.3,,
1969-05-01,36.4,,
1969-06-01,36.6,,
1969-07-01,36.8,,
1969-08-01,36.9,,
1969-09-01,37.1,,
1969-10-01,37.3,,
1969-11-01,37.5,,
1969-12-01,37.7,,
1970-01-01,37.9,,
1970-02-01,38.1,,
1970-03-01,38.3,,
1970-04-01,38.5,,
1970-05-01,38.6,,
1970-06-01,38.8,,
1970-07-01,38.9,,
1970-08-01,39.0,,
1970-09-01,39.2,,
1970-10-01,39.4,,
1970-11-01,39.6,,
1970-12-01,39.8,,
1971-01-01,39.9,,
1971-02-01,39.9,,
1971-03-01,40.0,,
1971-04-01,40.1,,
1971-05-01,40.3,,
1971-06-01,40.5,,
1971-07-01,40.6,,
1971-08-01,40.7,,
1971-09-01,40.8,,
1971-10-01,40.9,,
1971-11-01,41.0,,
1971-12-01,41.1,,
1972-01-01,41.2,,
1972-02-01,41.4,,
1972-03-01,41.4,,
1972-04-01,41.5,,
1972-05-01,41.6,,
1972-06-01,41.7,,
1972-07-01,41.8,,
1972-08-01,41.9,,
1972-09-01,42.1,,
1972-10-01,42.2,,
1972-11-01,42.4,,
1972-12-01,42.5,,
1973-01-01,42.7,,
1973-02-01,43.0,,
1973-03-01,43.4,,
1973-04-01,43.7,,
1973-05-01,43.9,,
1973-06-01,44.2,,
1973-07-01,44.2,,
1973-08-01,45.0,,
1973-09-01,45.2,,
1973-10-01,45.6,,
1973-11-01,45.9,,
1973-12-01,46.3,,
1974-01-01,46.8,,
1974-02-01,47.3,,
1974-03-01,47.8,,
1974-04-01,48.1,,
1974-05-01,48.6,,
1974-06-01,49.0,,
1974-07-01,49.3,,
1974-08-01,49.9,,
1974-09-01,50.6,,
1974-10-01,51.0,,
1974-11-01,51.5,,
1974-12-01,51.9,,
1975-01-01,52.3,,
1975-02-01,52.6,,
1975-03-01,52.8,,
1975-04-01,53.0,,
1975-05-01,53.1,,
1975-06-01,53.5,,
1975-07-01,54.0,,
1975-08-01,54.2,,
1975-09-01,54.6,,
1975-10-01,54.9,,
1975-11-01,55.3,,
1975-12-01,55.6,,
1976-01-01,55.8,,
1976-02-01,55.9,,
1976-03-01,56.0,,
1976-04-01,56.1,,
1976-05-01,56.4,,
1976-06-01,56.7,,
1976-07-01,57.0,,
1976-08-01,57.3,,
1976-09-01,57.6,,
1976-10-01,57.9,,
1976-11-01,58.1,,
1976-12-01,58.4,,
1977-01-01,58.7,,
1977-02-01,59.3,,
1977-03-01,59.6,,
1977-04-01,60.0,,
1977-05-01,60.2,,
1977-06-01,60.5,,
1977-07-01,60.8,,
1977-08-01,61.1,,
1977-09-01,61.3,,
1977-10-01,61.6,,
1977-11-01,62.0,,
1977-12-01,62.3,,
1978-01-01,62.7,,
1978-02-01,63.0,,
1978-03-01,63.4,,
1978-04-01,63.9,,
1978-05-01,64.5,,
1978-06-01,65.0,,
1978-07-01,65.5,,
1978-08-01,65.9,,
1978-09-01,66.5,,
1978-10-01,67.1,,
1978-11-01,67.5,,
1978-12-01,67.9,,
1979-01-01,68.5,,
1979-02-01,69.2,,
1979-03-01,69.9,,
1979-04-01,70.6,,
1979-05-01,71.4,,
1979-06-01,72.2,,
1979-07-01,73.0,,
1979-08-01,73.7,,
1979-09-01,74.4,,
1979-10-01,75.2,,
1979-11-01,76.0,,
1979-12-01,76.9,,
1980-01-01,78.0,,
1980-02-01,79.0,,
1980-03-01,80.1,,
1980-04-01,80.9,,
1980-05-01,81.7,,
1980-06-01,82.5,,
1980-07-01,82.6,,
1980-08-01,83.2,,
1980-09-01,83.9,,
1980-10-01,84.7,,
1980-11-01,85.6,,
1980-12-01,86.4,,
1981-01-01,87.2,,
1981-02-01,88.0,,
1981-03-01,88.6,,
1981-04-01,89.1,,
1981-05-01,89.7,,
1981-06-01,90.5,,
1981-07-01,91.5,,
1981-08-01,92.2,,
1981-09-01,93.1,,
1981-10-01,93.4,,
1981-11-01,93.8,,
1981-12-01,94.1,,
1982-01-01,94.4,,
1982-02-01,94.7,,
1982-03-01,94.7,,
1982-04-01,95.0,,
1982-05-01,95.9,,
1982-06-01,97.0,,
1982-07-01,97.5,,
1982-08-01,97.7,,
1982-09-01,97.7,,
1982-10-01,98.1,,
1982-11-01,98.0,,
1982-12-01,97.7,,
1983-01-01,97.9,,
1983-02-01,98.0,,
1983-03-01,98.1,,
1983-04-01,98.8,,
1983-05-01,99.2,,
1983-06-01,99.4,,
1983-07-01,99.8,,
1983-08-01,100.1,,
1983-09-01,100.4,,
1983-10-01,100.8,,
1983-11-01,101.1,,
1983-12-01,101.4,,
1984-01-01,102.1,,
1984-02-01,102.6,,
1984-03-01,102.9,,
1984-04-01,103.3,,
1984-05-01,103.5,,
1984-06-01,103.7,,
1984-07-01,104.1,,
1984-08-01,104.4,,
1984-09-01,104.7,,
1984-10-01,105.1,,
1984-11-01,105.3,,
1984-12-01,105.5,,
1985-01-01,105.7,,
1985-02-01,106.3,,
1985-03-01,106.8,,
1985-04-01,107.0,,
1985-05-01,107.2,,
1985-06-01,107.5,,
1985-07-01,107.7,,
1985-08-01,107.9,,
1985-09-01,108.1,,
1985-10-01,108.5,,
1985-11-01,109.0,,
1985-12-01,109.5,,
1986-01-01,109.9,,
1986-02-01,109.7,,
1986-03-01,109.1,,
1986-04-01,108.7,,
1986-05-01,109.0,,
1986-06-01,109.4,,
1986-07-01,109.5,,
1986-08-01,109.6,,
1986-09-01,110.0,,
1986-10-01,110.2,,
1986-11-01,110.4,,
1986-12-01,110.8,,
1987-01-01,111.4,,
1987-02-01,111.8,,
1987-03-01,112.2,,
1987-04-01,112.7,,
1987-05-01,113.0,,
1987-06-01,113.5,,
1987-07-01,113.8,,
1987-08-01,114.3,,
1987-09-01,114.7,,
1987-10-01,115.0,,
1987-11-01,115.4,,
1987-12-01,115.6,,
1988-01-01,116.0,,
1988-02-01,116.2,,
1988-03-01,116.5,,
1988-04-01,117.2,,
1988-05-01,117.5,,
1988-06-01,118.0,,
1988-07-01,118.5,,
1988-08-01,119.0,,
1988-09-01,119.5,,
1988-10-01,119.9,,
1988-11-01,120.3,,
1988-12-01,120.7,,
1989-01-01,121.2,,
1989-02-01,121.6,,
1989-03-01,122.2,,
1989-04-01,123.1,,
1989-05-01,123.7,,
1989-06-01,124.1,,
1989-07-01,124.5,,
1989-08-01,124.5,,
1989-09-01,124.8,,
1989-10-01,125.4,,
1989-11-01,125.9,,
1989-12-01,126.3,,
1990-01-01,127.5,,
1990-02-01,128.0,,
1990-03-01,128.6,,
1990-04-01,128.9,,
1990-05-01,129.1,,
1990-06-01,129.9,,
1990-07-01,130.5,,
1990-08-01,131.6,,
1990-09-01,132.5,,
1990-10-01,133.4,,
1990-11-01,133.7,,
1990-12-01,134.2,,
1991-01-01,134.7,,
1991-02-01,134.8,,
1991-03-01,134.8,,
1991-04-01,135.1,,
1991-05-01,135.6,,
1991-06-01,136.0,,
1991-07-01,136.2,,
1991-08-01,136.6,,
1991-09-01,137.0,,
1991-10-01,137.2,,
1991-11-01,137.8,,
1991-12-01,138.2,,
1992-01-01,138.3,,
1992-02-01,138.6,,
1992-03-01,139.1,,
1992-04-01,139.4,,
1992-05-01,139.7,,
1992-06-01,140.1,,
1992-07-01,140.5,,
1992-08-01,140.8,,
1992-09-01,141.1,,
1992-10-01,141.7,,
1992-11-01,142.1,,
1992-12-01,142.3,,
1993-01-01,142.8,,
1993-02-01,143.1,,
1993-03-01,143.3,,
1993-04-01,143.8,,
1993-05-01,144.2,,
1993-06-01,144.3,,
1993-07-01,144.5,,
1993-08-01,144.8,,
1993-09-01,145.0,,
1993-10-01,145.6,,
1993-11-01,146.0,,
1993-12-01,146.3,,
1994-01-01,146.3,,
1994-02-01,146.7,,
1994-03-01,147.1,,
1994-04-01,147.2,,
1994-05-01,147.5,,
1994-06-01,147.9,,
1994-07-01,148.4,,
1994-08-01,149.0,,
1994-09-01,149.3,,
1994-10-01,149.4,,
1994-11-01,149.8,,
1994-12-01,150.1,,
1995-01-01,150.5,,
1995-02-01,150.9,,
1995-03-01,151.2,,
1995-04-01,151.8,,
1995-05-01,152.1,,
1995-06-01,152.4,,
1995-07-01,152.6,,
1995-08-01,152.9,,
1995-09-01,153.1,,
1995-10-01,153.5,,
1995-11-01,153.7,,
1995-12-01,153.9,,
1996-01-01,154.7,,
1996-02-01,155.0,,
1996-03-01,155.5,,
1996-04-01,156.1,,
1996-05-01,156.4,,
1996-06-01,156.7,,
1996-07-01,157.0,,
1996-08-01,157.2,,
1996-09-01,157.7,,
1996-10-01,158.2,,
1996-11-01,158.7,,
1996-12-01,159.1,,
1997-01-01,159.4,,
1997-02-01,159.7,,
1997-03-01,159.8,,
1997-04-01,159.9,,
1997-05-01,159.9,,
1997-06-01,160.2,,
1997-07-01,160.4,,
1997-08-01,160.8,,
1997-09-01,161.2,,
1997-10-01,161.5,,
1997-11-01,161.7,,
1997-12-01,161.8,,
1998-01-01,162.0,,
1998-02-01,162.0,,
1998-03-01,162.0,,
1998-04-01,162.2,,
1998-05-01,162.6,,
1998-06-01,162.8,,
1998-07-01,163.2,,
1998-08-01,163.4,,
1998-09-01,163.5,,
1998-10-01,163.9,,
1998-11-01,164.1,,
1998-12-01,164.4,,
1999-01-01,164.7,,
1999-02-01,164.7,,
1999-03-01,164.8,,
1999-04-01,165.9,,
1999-05-01,166.0,,
1999-06-01,166.0,,
1999-07-01,166.7,,
1999-08-01,167.1,,
1999-09-01,167.8,,
1999-10-01,168.1,,
1999-11-01,168.4,,
1999-12-01,168.8,,
2000-01-01,169.3,,
2000-02-01,170.0,,
2000-03-01,171.0,,
2000-04-01,170.9,,
2000-05-01,171.2,,
2000-06-01,172.2,,
2000-07-01,172.7,,
2000-08-01,172.7,,
2000-09-01,173.6,,
2000-10-01,173.9,,
2000-11-01,174.2,,
2000-12-01,174.6,,
2001-01-01,175.6,,
2001-02-01,176.0,,
2001-03-01,176.1,,
2001-04-01,176.4,,
2001-05-01,177.3,,
2001-06-01,177.7,,
2001-07-01,177.4,,
2001-08-01,177.4,,
2001-09-01,178.1,,
2001-10-01,177.6,,
2001-11-01,177.5,,
2001-12-01,177.4,,
2002-01-01,177.7,,
2002-02-01,178.0,,
2002-03-01,178.5,,
2002-04-01,179.3,,
2002-05-01,179.5,,
2002-06-01,179.6,,
2002-07-01,180.0,,
2002-08-01,180.5,,
2002-09-01,180.8,,
2002-10-01,181.2,,
2002-11-01,181.5,,
2002-12-01,181.8,,
2003-01-01,182.6,,
2003-02-01,183.6,,
2003-03-01,183.9,,
2003-04-01,183.2,,
2003-05-01,182.9,,
2003-06-01,183.1,,
2003-07-01,183.7,,
2003-08-01,184.5,,
2003-09-01,185.1,,
2003-10-01,184.9,,
2003-11-01,185.0,,
2003-12-01,185.5,,
2004-01-01,186.3,,
2004-02-01,186.7,,
2004-03-01,187.1,,
2004-04-01,187.4,,
2004-05-01,188.2,,
2004-06-01,188.9,,
2004-07-01,189.1,,
2004-08-01,189.2,,
2004-09-01,189.8,,
2004-10-01,190.8,,
2004-11-01,191.7,,
2004-12-01,191.7,,
2005-01-01,191.6,,
2005-02-01,192.4,,
2005-03-01,193.1,,
2005-04-01,193.7,,
2005-05-01,193.6,,
2005-06-01,193.7,,
2005-07-01,194.9,,
2005-08-01,196.1,,
2005-09-01,198.8,,
2005-10-01,199.1,,
2005-11-01,198.1,,
2005-12-01,198.1,,
2006-01-01,199.3,,
2006-02-01,199.4,,
2006-03-01,199.7,,
2006-04-01,200.7,,
2006-05-01,201.3,,
2006-06-01,201.8,,
2006-07-01,202.9,,
2006-08-01,203.8,,
2006-09-01,202.8,,
2006-10-01,201.9,,
2006-11-01,202.0,,
2006-12-01,203.1,,
2007-01-01,203.437,,
2007-02-01,204.226,,
2007-03-01,205.288,,
2007-04-01,205.904,,
2007-05-01,206.755,,
2007-06-01,207.234,,
2007-07-01,207.603,,
2007-08-01,207.667,,
2007-09-01,208.547,,
2007-10-01,209.19,,
2007-11-01,210.834,,
2007-12-01,211.445,,
2008-01-01,212.174,,
2008-02-01,212.687,,
2008-03-01,213.448,,
2008-04-01,213.942,,
2008-05-01,215.208,,
2008-06-01,217.463,,
2008-07-01,219.016,,
2008-08-01,218.69,,
2008-09-01,218.877,,
2008-10-01,216.995,,
2008-11-01,213.153,,
2008-12-01,211.398,,
2009-01-01,211.933,,
2009-02-01,212.705,,
2009-03-01,212.495,,
2009-04-01,212.709,,
2009-05-01,213.022,,
2009-06-01,214.79,,
2009-07-01,214.726,,
2009-08-01,215.445,,
2009-09-01,215.861,,
2009-10-01,216.509,,
2009-11-01,217.234,,
2009-12-01,217.347,,
2010-01-01,217.488,,
2010-02-01,217.281,,
2010-03-01,217.353,,
2010-04-01,217.403,,
2010-05-01,217.29,,
2010-06-01,217.199,,
2010-07-01,217.605,,
2010-08-01,217.923,,
2010-09-01,218.275,,
2010-10-01,219.035,,
2010-11-01,219.59,,
2010-12-01,220.472,,
2011-01-01,221.187,,
2011-02-01,221.898,,
2011-03-01,223.046,,
2011-04-01,224.093,,
2011-05-01,224.806,,
2011-06-01,224.806,,
2011-07-01,225.395,,
2011-08-01,226.106,,
2011-09-01,226.597,,
2011-10-01,226.75,,
2011-11-01,227.169,,
2011-12-01,227.223,,
2012-01-01,227.842,,
2012-02-01,228.329,,
2012-03-01,228.807,,
2012-04-01,229.187,,
2012-05-01,228.713,,
2012-06-01,228.524,,
2012-07-01,228.59,,
2012-08-01,229.918,,
2012-09-01,231.015,,
2012-10-01,231.638,,
2012-11-01,231.249,,
2012-12-01,231.221,,
2013-01-01,231.679,,
2013-02-01,232.937,,
2013-03-01,232.282,,
2013-04-01,231.797,,
2013-05-01,231.893,,
2013-06-01,232.445,,
2013-07-01,232.9,,
2013-08-01,233.456,,
2013-09-01,233.544,,
2013-10-01,233.669,,
2013-11-01,234.1,,
2013-12-01,234.719,,
2014-01-01,235.288,,
2014-02-01,235.547,,
2014-03-01,236.028,,
2014-04-01,236.468,,
2014-05-01,236.918,,
2014-06-01,237.231,,
2014-07-01,237.498,,
2014-08-01,237.46,,
2014-09-01,237.477,,
2014-10-01,237.43,,
2014-11-01,236.983,,
2014-12-01,236.252,,
2015-01-01,234.747,,
2015-02-01,235.342,,
2015-03-01,235.976,,
2015-04-01,236.222,,
2015-05-01,237.001,,
2015-06-01,237.657,,
2015-07-01,238.034,,
2015-08-01,238.033,,
2015-09-01,237.498,,
2015-10-01,237.733,,
2015-11-01,238.017,,
2015-12-01,237.761,,
2016-01-01,237.652,,
2016-02-01,237.336,,
2016-03-01,238.08,,
2016-04-01,238.992,,
2016-05-01,239.557,,
2016-06-01,240.222,,
2016-07-01,240.101,,
2016-08-01,240.545,,
2016-09-01,241.176,,
2016-10-01,241.741,,
2016-11-01,242.026,,
2016-12-01,242.637,,
2017-01-01,243.618,,
2017-02-01,244.006,,
2017-03-01,243.892,,
2017-04-01,244.193,,
2017-05-01,244.004,,
2017-06-01,244.163,,
2017-07-01,244.243,,
2017-08-01,245.183,,
2017-09-01,246.435,,
2017-10-01,246.626,,
2017-11-01,247.284,,
2017-12-01,247.805,,
2018-01-01,248.743,,
2018-02-01,249.439,,
2018-03-01,249.581,,
2018-04-01,250.146,,
2018-05-01,250.779,,
2018-06-01,251.118,,
2018-07-01,251.323,,
2018-08-01,251.749,,
2018-09-01,252.239,,
2018-10-01,252.862,,
2018-11-01,252.657,,
2018-12-01,252.551,,
2019-01-01,252.47,,
2019-02-01,253.135,,
2019-03-01,254.273,,
2019-04-01,255.163,,
2019-05-01,255.325,,
2019-06-01,255.361,,
2019-07-01,255.9,,
2019-08-01,256.179,,
2019-09-01,256.596,,
2019-10-01,257.305,,
2019-11-01,257.788,,
2019-12-01,258.263,,
2020-01-01,258.682,,
2020-02-01,259.007,,
2020-03-01,258.165,,
2020-04-01,256.094,,
2020-05-01,255.944,,
2020-06-01,257.217,,
2020-07-01,258.543,,
2020-08-01,259.58,,
2020-09-01,260.19,,
2020-10-01,260.352,,
2020-11-01,260.721,,
2020-12-01,261.564,,
2021-01-01,262.2,,
2021-02-01,263.346,,
2021-03-01,265.028,,
2021-04-01,266.727,,
2021-05-01,268.599,,
2021-06-01,270.955,,
2021-07-01,272.184,,
2021-08-01,273.092,,
2021-09-01,274.214,,
2021-10-01,276.59,,
2021-11-01,278.524,,
2021-12-01,280.126,,
2022-01-01,281.933,,
2022-02-01,284.182,,
2022-03-01,287.708,,
2022-04-01,288.663,,
2022-05-01,291.474,,
2022-06-01,295.328,,
2022-07-01,295.271,,
1956-01-01,295.271,6.2,
1956-04-01,295.271,5.9,
1956-07-01,295.271,6.3,
1956-10-01,295.271,5.8,
1957-01-01,295.271,5.3,
1957-04-01,295.271,5.3,
1957-07-01,295.271,5.7,
1957-10-01,295.271,5.8,
1958-01-01,295.271,6.3,
1958-04-01,295.271,6.5,
1958-07-01,295.271,6.3,
1958-10-01,295.271,6.6,
1959-01-01,295.271,6.8,
1959-04-01,295.271,7.3,
1959-07-01,295.271,7.2,
1959-10-01,295.271,7.0,
1960-01-01,295.271,8.0,
1960-04-01,295.271,8.0,
1960-07-01,295.271,8.3,
1960-10-01,295.271,8.4,
1961-01-01,295.271,8.9,
1961-04-01,295.271,8.8,
1961-07-01,295.271,8.6,
1961-10-01,295.271,8.5,
1962-01-01,295.271,8.5,
1962-04-01,295.271,8.1,
1962-07-01,295.271,8.0,
1962-10-01,295.271,8.1,
1963-01-01,295.271,8.0,
1963-04-01,295.271,8.2,
1963-07-01,295.271,8.3,
1963-10-01,295.271,8.3,
1964-01-01,295.271,8.1,
1964-04-01,295.271,8.1,
1964-07-01,295.271,8.4,
1964-10-01,295.271,8.3,
1965-01-01,295.271,8.5,
1965-04-01,295.271,8.2,
1965-07-01,295.271,7.8,
1965-10-01,295.271,8.5,
1966-01-01,295.271,8.3,
1966-04-01,295.271,7.4,
1966-07-01,295.271,7.4,
1966-10-01,295.271,7.7,
1967-01-01,295.271,7.3,
1967-04-01,295.271,6.9,
1967-07-01,295.271,7.0,
1967-10-01,295.271,6.2,
1968-01-01,295.271,6.1,
1968-04-01,295.271,6.2,
1968-07-01,295.271,5.9,
1968-10-01,295.271,5.4,
1969-01-01,295.271,5.6,
1969-04-01,295.271,5.7,
1969-07-01,295.271,5.5,
1969-10-01,295.271,5.1,
1970-01-01,295.271,5.4,
1970-04-01,295.271,5.4,
1970-07-01,295.271,5.3,
1970-10-01,295.271,5.2,
1971-01-01,295.271,5.3,
1971-04-01,295.271,5.3,
1971-07-01,295.271,5.6,
1971-10-01,295.271,5.6,
1972-01-01,295.271,5.3,
1972-04-01,295.271,5.5,
1972-07-01,295.271,5.8,
1972-10-01,295.271,5.6,
1973-01-01,295.271,5.7,
1973-04-01,295.271,5.8,
1973-07-01,295.271,5.8,
1973-10-01,295.271,5.8,
1974-01-01,295.271,6.2,
1974-04-01,295.271,6.3,
1974-07-01,295.271,6.2,
1974-10-01,295.271,6.0,
1975-01-01,295.271,6.1,
1975-04-01,295.271,6.3,
1975-07-01,295.271,6.2,
1975-10-01,295.271,5.4,
1976-01-01,295.271,5.5,
1976-04-01,295.271,5.8,
1976-07-01,295.271,5.7,
1976-10-01,295.271,5.3,
1977-01-01,295.271,5.1,
1977-04-01,295.271,5.3,
1977-07-01,295.271,5.4,
1977-10-01,295.271,5.1,
1978-01-01,295.271,5.0,
1978-04-01,295.271,5.1,
1978-07-01,295.271,5.0,
1978-10-01,295.271,5.0,
1979-01-01,295.271,5.1,
1979-04-01,295.271,5.5,
1979-07-01,295.271,5.7,
1979-10-01,295.271,5.4,
1980-01-01,295.271,5.2,
1980-04-01,295.271,5.6,
1980-07-01,295.271,5.7,
1980-10-01,295.271,5.0,
1981-01-01,295.271,5.2,
1981-04-01,295.271,5.0,
1981-07-01,295.271,5.0,
1981-10-01,295.271,5.0,
1982-01-01,295.271,5.3,
1982-04-01,295.271,5.1,
1982-07-01,295.271,5.3,
1982-10-01,295.271,5.5,
1983-01-01,295.271,5.7,
1983-04-01,295.271,5.5,
1983-07-01,295.271,5.8,
1983-10-01,295.271,5.5,
1984-01-01,295.271,5.6,
1984-04-01,295.271,5.5,
1984-07-01,295.271,6.0,
1984-10-01,295.271,6.3,
1985-01-01,295.271,6.3,
1985-04-01,295.271,6.2,
1985-07-01,295.271,6.8,
1985-10-01,295.271,6.7,
1986-01-01,295.271,6.9,
1986-04-01,295.271,7.3,
1986-07-01,295.271,7.5,
1986-10-01,295.271,7.7,
1987-01-01,295.271,7.4,
1987-04-01,295.271,7.5,
1987-07-01,295.271,8.1,
1987-10-01,295.271,7.8,
1988-01-01,295.271,8.0,
1988-04-01,295.271,7.7,
1988-07-01,295.271,7.8,
1988-10-01,295.271,7.3,
1989-01-01,295.271,7.5,
